mysql> select * from account;
+----------------+-------------+---------+
| account_number | branch_name | balance |
+----------------+-------------+---------+
| A-1000000      | Downtown    |    5978 |
| A-1000001      | Brighton    |    8345 |
| A-1000002      | Round Hill  |    3115 |
| A-1000003      | Brighton    |    3240 |
| A-1000004      | Round Hill  |    3281 |
| A-1000005      | Downtown    |    5951 |
| A-1000006      | North Town  |    9245 |
| A-1000007      | Downtown    |    6000 |
| A-1000008      | Mianus      |    1548 |
| A-1000009      | North Town  |    3883 |
| A-1000010      | Round Hill  |    8955 |
| A-1000011      | Brighton    |    2953 |
| A-1000012      | Downtown    |     130 |
| A-1000013      | Round Hill  |    9154 |
| A-1000014      | Mianus      |    6738 |
| A-1000015      | North Town  |    7378 |
| A-1000016      | Downtown    |     186 |
| A-1000017      | Mianus      |    2866 |
| A-1000018      | Mianus      |    6517 |
| A-1000019      | Mianus      |     934 |
| A-1000020      | Downtown    |    8089 |
| A-1000021      | Round Hill  |    8445 |
| A-1000022      | Round Hill  |    7265 |
| A-1000023      | Round Hill  |    2193 |
| A-1000024      | Redwood     |    4880 |
| A-1000025      | Pownal      |    4943 |
| A-1000026      | Mianus      |    1431 |
| A-1000027      | Perryridge  |    5016 |
| A-1000028      | Perryridge  |    8147 |
| A-1000029      | Pownal      |    3076 |
| A-1000030      | Perryridge  |     602 |
| A-1000031      | Redwood     |     797 |
| A-1000032      | Brighton    |    4224 |
| A-1000033      | Redwood     |    5300 |
| A-1000034      | Pownal      |    1828 |
| A-1000035      | Perryridge  |    2388 |
| A-1000036      | North Town  |    9210 |
| A-1000037      | Pownal      |    4821 |
| A-1000038      | Perryridge  |    7765 |
| A-1000039      | Pownal      |    7993 |
| A-1000040      | Round Hill  |    9030 |
| A-1000041      | Redwood     |    8282 |
| A-1000042      | Pownal      |    1575 |
| A-1000043      | Mianus      |     636 |
| A-1000044      | Mianus      |    1994 |
| A-1000045      | Pownal      |    7902 |
| A-1000046      | Brighton    |    4511 |
| A-1000047      | Perryridge  |    2228 |
| A-1000048      | Pownal      |    1587 |
| A-1000049      | Perryridge  |    9507 |
| A-1000050      | Brighton    |    1147 |
| A-1000051      | Brighton    |    8786 |
| A-1000052      | Round Hill  |    9048 |
| A-1000053      | Round Hill  |    2529 |
